User ID,User ID,Communication Frequency
18037154,18944490,2
14267393,24770307,1
305765428,305778105,1
17174309,242587444,1
15574667,15822397,1
27068271,569599763,1
438746264,54249904,1
185011978,407817503,1
107294661,22961538,1
239090621,258585786,1
10389362,17646385,1
147758495,755241,1
287990977,332349611,1
14564016,23123041,1
10947242,17912374,1
124363784,15680466,1
15215339,255930361,1
30820475,42612530,1
22109345,24575229,1
110273687,40133413,1
106213245,1685011,1
19350365,36095300,1
153466196,231315508,1
11661442,7172432,1
19194631,50679159,1
17101947,19057587,1
22693781,26002706,1
16867024,17218416,1
256663196,297026988,1
17261349,21155077,1
83221889,8386342,1
23760244,286386744,1
304621015,428397527,1
15680466,22883726,1
14535651,216054552,1
17489274,29964664,1
1073471,16675192,1
15705567,374822255,1
14848078,25381660,1
15440411,380945274,1
12078212,33727801,1
21938655,276313488,1
5007111,81698365,1
138946436,66456468,1
38434826,4039321,1
238416591,834251012,1
180225004,314364945,1
330596503,34109390,1
11101232,9743782,1
14320217,656323,1
305395136,595419638,1
448615668,71441376,1
41129813,5237281,1
208514401,484257212,1
180837655,226458611,1
119439671,276535182,1
109318056,15391930,1
7958922,99769145,1
16049346,4896891,1
17900413,371463158,1
22730752,580435546,1
32110910,53905345,1
15207956,50647482,1
475007783,91528864,1
524565807,894443155,1
13296612,815325156,1
19057587,2529561,1
295459744,58539256,1
117834664,27199091,1
156319005,95853861,1
328726392,67030184,1
555354217,76132124,1
14927543,16120265,1
30474561,33776968,1
14156778,43468317,1
109307439,26551628,1
22449932,71654283,1
16797710,27000730,1
305765428,305873069,1
7277042,801917,1
26955660,36814166,1
182250423,393860463,1
331026045,96502958,1
247482786,468902800,1
244084189,25310057,1
21008255,6201602,1
305765428,305956098,1
185030243,349795597,1
419356073,7482,1
21160381,7184612,1
271726939,328022961,1
224358396,70705262,1
22685685,64578819,1
20088432,63234140,1
305765428,305970403,1
15743098,15891430,1
16898822,63789968,1
12705482,794238,1
190075513,65815058,1
305765428,305921359,1
13533012,349795597,1
27240982,32964156,1
24949344,453997009,1
16039484,22442220,1
22524936,28286311,1
316030331,340069375,1
446638202,56717576,1
24995684,761628,1
41471361,64915890,1
17174309,482520794,1
7482,922,1
16337109,96502958,1
305765428,305941845,1
20245750,20245894,1
119930745,15772074,1
19880027,23874942,1
351018295,60993396,1
16088890,25455886,1
